Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep) 
 12/21  18:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,254.10608696162848,-18.391889786253444 
 12/21  18:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,256.12049932100825,-21.262341237957997 
 12/21  19:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,258.13309131589335,-24.15781984689077 
 12/21  19:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,260.1544082056583,-27.0747844721825 
 12/21  19:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,262.1961140719295,-30.009737285186947 
 12/21  19:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,264.27135083111233,-32.95915478033773 
 12/21  20:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,266.3952062452566,-35.91940556160232 
 12/21  20:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,268.5853307121675,-38.88664874855997 
 12/21  20:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,270.8627598912923,-41.85670404234112 
 12/21  20:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,273.25302544084315,-44.82488020615525 
 12/21  21:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,275.7876730327846,-47.785742055746816 
 12/21  21:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,278.50636038561737,-50.73278555991204 
 12/21  21:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,281.4597839710744,-53.657973926828085 
 12/21  21:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,284.7137842149532,-56.55106074652364 
 12/21  22:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,288.3550935116272,-59.39858348491532 
 12/21  22:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,292.4992551658581,-62.182344080091205 
 12/21  22:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,297.301031415589,-64.87709728681801 
 12/21  22:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,302.9664707253064,-67.44705645446197 
 12/21  23:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,309.7619746138441,-69.84080142542793 
 12/21  23:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,318.00547287039336,-71.98461056389965 
 12/21  23:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,328.0040772254789,-73.77616470031556 
 12/21  23:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,339.8834206109057,-75.08560454808719 
 12/21  24:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,353.3098975756637,-75.7774959627945 
 07/21  00:15:00,21.408,-0.021979067957820543,10.854770494572614,0.0,0.0,0.2286755804637875,-31.763630935208575 
 07/21  00:30:00,21.18,-0.022936643394797705,10.75611242238056,0.0,0.0,3.895985611160643,-31.668560981063642 
 07/21  00:45:00,20.952,-0.023892740364933357,10.657129546927889,0.0,0.0,7.99737925896564,-31.36074427093648 
 07/21  01:00:00,20.724000000000004,-0.02484687625596345,10.557818335390225,0.0,0.0,12.051907407027748,-30.843561967616523 
 07/21  01:15:00,20.572000000000003,-0.025495231487657664,10.4914185558603,0.0,0.0,16.03801128881906,-30.122540136854138 
 07/21  01:30:00,20.42,-0.026123827912305095,10.424886258282726,0.0,0.0,19.936962390734653,-29.205072551820063 
 07/21  01:45:00,20.268,-0.02677050066653983,10.358193692899983,0.0,0.0,23.73339061954837,-28.100075178888833 
 07/21  02:00:00,20.116,-0.02739602284164571,10.291365846301826,0.0,0.0,27.41553437128504,-26.817607385198336 
 07/21  02:15:00,20.002000000000002,-0.027870466876604723,10.241143497807125,0.0,0.0,30.975235609114605,-25.368492991217543 
 07/21  02:30:00,19.888,-0.028363354063727128,10.190826523793294,0.0,0.0,34.4077297129664,-23.763968073000086 
 07/21  02:45:00,19.774000000000004,-0.028837062436519796,10.140436408947032,0.0,0.0,37.711292420740826,-22.015374005021748 
 07/21  03:00:00,19.660000000000004,-0.029309885303586507,10.089964157756262,0.0,0.0,40.886806222124164,-20.13390562184666 
 07/21  03:15:00,19.546000000000003,-0.029782411508761878,10.03940758127769,0.0,0.0,43.9372999651704,-18.130416989842587 
 07/21  03:30:00,19.432000000000002,-0.030254152564936458,9.988766641783627,0.0,0.0,46.86750254384647,-16.015281833938115 
 07/21  03:45:00,19.318000000000005,-0.030725808322452756,9.93804083920533,0.0,0.0,49.68343793918821,-13.798302270398638 
 07/21  04:00:00,19.204,-0.0311965770368621,9.887230088216144,0.0,0.0,52.39207690309106,-11.488657877890942 
 07/21  04:15:00,19.128,-0.03151697219630591,9.853306268178107,0.0,0.0,55.00105129155575,-9.094886845944359 
 07/21  04:30:00,19.052,-0.03183700164006803,9.819342285207393,0.0,0.0,57.51843066072798,-6.624891507478524 
 07/21  04:45:00,18.976000000000003,-0.03213719683733385,9.78535547658765,0.0,0.0,59.952556896548906,-4.085961598598799 
 07/21  05:00:00,18.900000000000002,-0.032456167098532385,9.751315570383362,0.0,0.0,62.31193080190145,-1.48480980762052 
 07/21  05:15:00,18.976000000000003,-0.03213719683733385,9.78535547658765,0.005647919666576601,0.04137622671597103,64.60514414104883,1.172384608422784 
 07/21  05:30:00,19.052,-0.03183700164006803,9.819342285207393,6.827975537670544,50.02122560801278,66.84085115414695,3.8799272496808634 
 07/21  05:45:00,19.128,-0.03151697219630591,9.853306268178107,24.412886672227565,178.84693716857683,69.02777464354621,6.6325571868067525 
 07/21  06:00:00,19.204,-0.0311965770368621,9.887230088216144,41.522632226590275,304.1916220973186,71.17474316177531,9.425394092486549 
 07/21  06:15:00,19.470000000000002,-0.030103832108314677,10.005651521014103,55.51129914712343,406.67152410148674,73.29075746960217,12.253884538800838 
 07/21  06:30:00,19.736,-0.028988546706385447,10.123626740799239,66.6191231304047,488.0465914865946,75.38508624054943,15.113747523098802 
 07/21  06:45:00,20.002000000000002,-0.027870466876604723,10.241143497807125,75.47195315229574,552.9017458952873,77.46739299729688,18.000918757786952 
 07/21  07:00:00,20.268,-0.02677050066653983,10.358193692899983,82.61121771844606,605.2034510739985,79.54789857133282,20.911492743159886 
 07/21  07:15:00,20.914,-0.024064791762991256,10.640591685310923,88.44403821194236,647.9342470803002,81.63758614065445,23.841661082855257 
 07/21  07:30:00,21.560000000000002,-0.021325501178246963,10.920369468480754,93.26781539146138,683.272869084477,83.7484593569201,26.78764483223259 
 07/21  07:45:00,22.206000000000003,-0.018593838515928673,11.197535268568641,97.30006654469494,712.8128320693,85.89386855422329,29.74561780423487 
 07/21  08:00:00,22.852000000000004,-0.015847600497864857,11.472138529438665,100.70163965107176,737.7324960073862,88.08892599334807,32.71161657534828 
 07/21  08:15:00,23.574000000000005,-0.012756746579540538,11.776057991747534,103.59314298125983,758.9154278482645,90.35103915826582,35.68143126369062 
 07/21  08:30:00,24.296,-0.009650422757352794,12.07686472184798,106.066306232273,777.03363232364,92.7006021036629,38.65046873690448 
 07/21  08:45:00,25.018,-0.0065290310513957265,12.374605927125794,108.1918392099803,792.6051240533012,95.16189976531578,41.61357636639999 
 07/21  09:00:00,25.740000000000002,-0.003391714024866721,12.669327207719936,110.0249184196502,806.0341218870483,97.76430006078357,44.564809199735144 
 07/21  09:15:00,26.386000000000003,0.0,12.930497467114062,111.60906630382095,817.6394679040898,100.54383415454,47.49711561443778 
 07/21  09:30:00,27.032000000000004,0.0022687059532472483,13.18933184017491,112.97893150534304,827.6749954070601,103.5452951624815,50.40190490133064 
 07/21  09:45:00,27.678,0.0051056187671993675,13.445836968776982,114.16230822911223,836.3443226113468,106.82501280013942,53.26844313677423 
 07/21  10:00:00,28.324,0.007961342253437606,13.700053760935651,115.18162131781114,843.8117321961801,110.45446371405751,56.08299931003741 
 07/21  10:15:00,28.894000000000002,0.01055468041285305,13.922497987617186,116.0550306494971,850.2102620367414,114.52479423311003,58.827631264004715 
 07/21  10:30:00,29.464000000000002,0.01341699624824034,14.143196674093069,116.79726025751323,855.6477792731005,119.15201551764842,61.47846531212553 
 07/21  10:45:00,30.034000000000002,0.01630993588244674,14.362191346111572,117.42022537233474,860.2115739707364,124.48174410130041,64.00330694638293 
 07/21  11:00:00,30.604000000000003,0.01918951170413376,14.5794803490077,117.93350878615134,863.9718489309672,130.69023360909105,66.35849417490195 
 07/21  11:15:00,30.984,0.02113003203749058,14.723417238691232,118.34472296644702,866.9843725072895,137.9740826727843,68.48525263157404 
 07/21  11:30:00,31.364,0.02307300895524774,14.86661478499068,118.6597838923114,869.2924847092124,146.5142329557226,70.30679561162384 
 07/21  11:45:00,31.744,0.024997395482169765,15.009068746431343,118.88311515764497,870.9285924467024,156.39611240504107,71.7294079358967 
 07/21  12:00:00,32.124,0.02694851783638546,15.15080970539794,119.01779548797859,871.9152502270961,167.4867477417068,72.6530122103983 
 07/21  12:15:00,32.428000000000004,0.02848548857517026,15.263669336263796,119.065658784743,872.2658930717555,179.33517685270743,72.99508612236725 
 07/21  12:30:00,32.732,0.030069025018985833,15.376093196028137,119.02735268084422,871.9852654897275,191.22652178088205,72.72070233134004 
 07/21  12:45:00,33.036,0.03160979986832453,15.488039962975913,118.90235903260614,871.0695716001417,202.42940384711852,71.85807984318197 
 07/21  13:00:00,33.34,0.03319878940331173,15.599556872929663,118.6889775328506,869.5063550828944,212.45700427073047,70.48588874762048 
 07/21  13:15:00,33.53,0.03418039107227346,15.669020905110786,118.38427149826309,867.274102021041,221.14441726751474,68.7036733873794 
 07/21  13:30:00,33.72,0.03511895191738461,15.738287074713133,117.98397266578716,864.341543446478,228.55940288754476,66.60660545134617 
 07/21  13:45:00,33.910000000000004,0.03610434082800029,15.80740149795668,117.48233932067437,860.6666159969063,234.87719281952081,64.27352012726845 
 07/21  14:00:00,34.1,0.03708817590154621,15.876342433183456,116.8719590266442,856.1950167320992,240.29507429710623,61.76507998510607 
 07/21  14:15:00,34.1,0.03708817590154621,15.876342433183456,116.14348331558631,850.8582594909894,244.99237957896042,59.12643932838574 
 07/21  14:30:00,34.1,0.03708817590154621,15.876342433183456,115.28527647627523,844.5711019447037,249.11818836866286,56.39089471501089 
 07/21  14:45:00,34.1,0.03708817590154621,15.876342433183456,114.28295341875524,837.2281600264577,252.79158675630867,53.583110364535344 
 07/21  15:00:00,34.1,0.03708817590154621,15.876342433183456,113.1187715359573,828.6994527563573,256.1062136220995,50.72159001499546 
 07/21  15:15:00,33.872,0.03591554554891385,15.79359659419615,111.77082710603915,818.8245151465189,259.1354858232405,47.82046357054543 
 07/21  15:30:00,33.644,0.03474509081539958,15.710600647096353,110.21198588390692,807.4045637964958,261.93721679459117,44.890749452579804 
 07/21  15:45:00,33.416000000000004,0.033573982815355674,15.62735349319182,108.40844671276776,794.1919740215741,264.5573271574223,41.94124227808605 
 07/21  16:00:00,33.188,0.03240362156654454,15.54385498539016,106.3177909150253,778.8759898399359,267.03270453253305,38.97914028820993 
 07/21  16:15:00,32.884,0.030816935923830353,15.432111858959141,103.88630052897445,761.0630775801682,269.39336899006173,36.01049377066052 
 07/21  16:30:00,32.58,0.029277051142052556,15.319939145880637,101.04522212691224,740.2495548990238,271.6641037717204,33.040530428587786 
 07/21  16:45:00,32.276,0.02769474195500873,15.207286410073866,97.70549040596367,715.7829362121033,273.8656849327059,30.07389583751508 
 07/21  17:00:00,31.972,0.026159190324724597,15.094196221726495,93.75018034551687,686.8066377775675,276.0158134332017,27.114834999485172 
 07/21  17:15:00,31.592000000000002,0.024231238506139275,14.952177581380584,89.02360341995869,652.1800973861187,278.12982705853034,24.167332842412428 
 07/21  17:30:00,31.212000000000003,0.022286814834581926,14.809418742921483,83.31552795728561,610.3631739172712,280.2212490215463,21.23522603236006 
 07/21  17:45:00,30.832,0.020344685206871767,14.665926047216926,76.33877941710811,559.2520486923479,282.3022146846827,18.322294769315313 
